Date (GMT),Rate**
Average,113.768014
18-Sep-14,102.75
19-Sep-14,102.7
20-Sep-14,102.6
21-Sep-14,102.965
22-Sep-14,102.965
23-Sep-14,102.75
24-Sep-14,102.7
26-Sep-14,102.7
27-Sep-14,102.765
28-Sep-14,103.21
29-Sep-14,103.205
30-Sep-14,102.7
01-Oct-14,102.7
02-Oct-14,102.65
03-Oct-14,102.5
04-Oct-14,102.5
05-Oct-14,102.5
06-Oct-14,102.5
07-Oct-14,102.5
08-Oct-14,102.5
09-Oct-14,102.475
10-Oct-14,102.85
11-Oct-14,102.795
12-Oct-14,103.105
13-Oct-14,103.115
14-Oct-14,102.8
15-Oct-14,102.8
16-Oct-14,102.835
17-Oct-14,102.95
18-Oct-14,102.9
19-Oct-14,102.875
20-Oct-14,102.875
21-Oct-14,102.875
22-Oct-14,102.875
23-Oct-14,102.77
24-Oct-14,102.95
25-Oct-14,103
26-Oct-14,102.805
27-Oct-14,102.805
28-Oct-14,102.93
29-Oct-14,103.035
30-Oct-14,103.045
31-Oct-14,103.1
01-Nov-14,102.8
02-Nov-14,103.25
03-Nov-14,103.25
04-Nov-14,103.48
05-Nov-14,102.7
06-Nov-14,102.76
07-Nov-14,102.45
08-Nov-14,102.4
09-Nov-14,101.475
10-Nov-14,101.475
11-Nov-14,101.5
12-Nov-14,101.625
13-Nov-14,101.735
14-Nov-14,101.675
15-Nov-14,101.605
16-Nov-14,100.973
17-Nov-14,100.973
18-Nov-14,101.85
19-Nov-14,101.6
20-Nov-14,101.6
21-Nov-14,101.59
22-Nov-14,101.515
23-Nov-14,101.6
24-Nov-14,101.6
25-Nov-14,101.595
26-Nov-14,101.8
27-Nov-14,101.705
28-Nov-14,101.605
29-Nov-14,101.68
30-Nov-14,101.965
01-Dec-14,101.965
02-Dec-14,101.8
03-Dec-14,101.63
04-Dec-14,101.65
05-Dec-14,101.56
06-Dec-14,101.4
07-Dec-14,101.47
08-Dec-14,101.47
09-Dec-14,101.4
10-Dec-14,100.8855
11-Dec-14,100.8585
12-Dec-14,100.5865
13-Dec-14,100.55
14-Dec-14,100.55
15-Dec-14,100.55
16-Dec-14,100.2535
17-Dec-14,100.4265
18-Dec-14,100.466
19-Dec-14,100.5095
20-Dec-14,100.5775
21-Dec-14,99.45
22-Dec-14,99.45
23-Dec-14,100.5975
24-Dec-14,100.53
25-Dec-14,100.5605
26-Dec-14,100.45
27-Dec-14,100.45
28-Dec-14,100.75
29-Dec-14,100.75
30-Dec-14,101.0275
31-Dec-14,100.7
04-Jan-15,100.85
05-Jan-15,100.85
06-Jan-15,100.878
07-Jan-15,100.813
08-Jan-15,100.6465
09-Jan-15,100.7
10-Jan-15,100.688
11-Jan-15,100.7
12-Jan-15,100.7
13-Jan-15,100.7025
14-Jan-15,100.5235
15-Jan-15,100.71
16-Jan-15,100.7315
17-Jan-15,100.651
18-Jan-15,100.7
19-Jan-15,100.7
20-Jan-15,100.6725
21-Jan-15,100.6615
22-Jan-15,100.7385
23-Jan-15,100.7
24-Jan-15,100.65
25-Jan-15,100.2905
26-Jan-15,100.2905
27-Jan-15,100.937
28-Jan-15,100.9
29-Jan-15,100.87
30-Jan-15,101
31-Jan-15,101.075
01-Feb-15,101.1
02-Feb-15,101.1
03-Feb-15,101.358
04-Feb-15,101.1
05-Feb-15,101.5
06-Feb-15,101.1
07-Feb-15,101.15
08-Feb-15,101.15
09-Feb-15,101.15
10-Feb-15,101.15
11-Feb-15,101.1
12-Feb-15,101.318
13-Feb-15,101.35
14-Feb-15,101.45
15-Feb-15,101.35
16-Feb-15,101.35
17-Feb-15,101.425
18-Feb-15,101.4
19-Feb-15,101.505
20-Feb-15,101.7
21-Feb-15,101.7
22-Feb-15,101.7
23-Feb-15,101.7
24-Feb-15,101.715
25-Feb-15,101.795
26-Feb-15,101.85
27-Feb-15,101.91
28-Feb-15,101.85
01-Mar-15,101.85
02-Mar-15,101.85
03-Mar-15,101.93
04-Mar-15,101.94
05-Mar-15,101.95
06-Mar-15,101.85
07-Mar-15,101.8
08-Mar-15,101.875
09-Mar-15,101.875
10-Mar-15,101.9
11-Mar-15,101.92
12-Mar-15,101.85
13-Mar-15,101.75
14-Mar-15,101.85
15-Mar-15,101.85
16-Mar-15,101.85
17-Mar-15,101.8
18-Mar-15,101.9
19-Mar-15,101.8
20-Mar-15,101.875
21-Mar-15,101.9
22-Mar-15,101.9
23-Mar-15,101.9
24-Mar-15,101.825
25-Mar-15,101.955
26-Mar-15,102
27-Mar-15,102
28-Mar-15,101.815
29-Mar-15,101.815
30-Mar-15,101.815
31-Mar-15,101.815
01-Apr-15,101.95
02-Apr-15,101.85
03-Apr-15,101.9
04-Apr-15,101.3595
05-Apr-15,101.9
06-Apr-15,101.9
07-Apr-15,101.915
08-Apr-15,101.95
09-Apr-15,101.91
10-Apr-15,101.865
11-Apr-15,101.925
12-Apr-15,101.9
13-Apr-15,101.9
14-Apr-15,101.9
15-Apr-15,101.65
16-Apr-15,101.95
17-Apr-15,101.6
18-Apr-15,101.85
19-Apr-15,101.85
20-Apr-15,101.85
21-Apr-15,101.9
22-Apr-15,101.675
23-Apr-15,101.65
24-Apr-15,101.7
25-Apr-15,101.8
26-Apr-15,101.85
27-Apr-15,101.85
28-Apr-15,101.9
29-Apr-15,101.9
30-Apr-15,101.85
01-May-15,101.85
02-May-15,101.85
03-May-15,101.875
